category,brand,price,rating,bowl_material,bowl_capacity,accessories_count,bowl_type,blade_material,value_score,price_per_accessory
0.0,0.0727272727272727,24500000,3.3,0.0,0.9166666666666666,0.0,0.5,0.25,1.346938774960433e-06,2450000000.0
0.0,0.9818181818181818,17100000,1.0,0.0,0.0833333333333333,0.3333333333333333,1.0,0.3125,5.847953212954412e-07,49805825.24271845
0.0,0.1999999999999999,2898000,4.1,0.0,0.3333333333333333,0.0,1.0,0.25,1.4147688011912741e-05,289800000.0
0.0,0.6727272727272727,2260000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125,1.814159284008145e-05,226000000.0
0.0,0.4545454545454545,9785000,4.1,0.0,0.3333333333333333,0.0,1.0,0.6875,4.19008686337242e-06,978500000.0
0.0,0.6,2300000,4.1,0.25,0.3333333333333333,0.0,0.0,0.25,1.7826086879017017e-05,230000000.0
0.0,0.3636363636363636,48800000,4.6,0.5,0.3333333333333333,0.0,1.0,0.25,9.426229506265117e-07,4880000000.0
0.0,0.2181818181818181,1890000,4.1,0.0,0.3333333333333333,0.0,1.0,0.3125,2.1693121578343273e-05,189000000.0
0.0,0.4727272727272727,1140000,3.7,0.25,0.3333333333333333,0.0,1.0,0.3125,3.245614006617421e-05,114000000.0
0.0,0.7999999999999999,9660000,4.1,0.0,0.625,0.0,1.0,0.5625,4.2443064138257695e-06,966000000.0
0.0,0.4909090909090909,8150000,4.1,0.0,0.7083333333333333,0.3333333333333333,0.5,0.25,5.03067484045316e-06,23737864.077669904
0.0,0.7272727272727273,5000000,1.0,0.0,0.7916666666666666,0.3333333333333333,1.0,0.3125,1.999999996e-06,14563106.796116505
0.0,0.1818181818181818,2080000,5.0,0.0,0.2916666666666666,0.0,1.0,0.875,2.403846142289201e-05,208000000.0
0.0,0.3818181818181818,1450000,4.5,0.0,0.3333333333333333,0.0,1.0,0.25,3.103448254458978e-05,145000000.0
0.0,0.509090909090909,750000,3.6,0.0,0.3333333333333333,0.0,0.0,0.25,4.7999999360000006e-05,75000000.0
0.0,0.7999999999999999,4696460,3.6,1.0,0.3333333333333333,0.0,1.0,0.25,7.665347926597166e-06,469646000.0
0.0,0.9818181818181818,3980000,4.0,0.0,0.3333333333333333,0.0,1.0,0.25,1.005025123102952e-05,398000000.0
0.0,0.5272727272727272,4200000,4.3,0.0,0.3333333333333333,0.0,1.0,0.25,1.023809521371882e-05,420000000.0
0.0,0.509090909090909,14000000,4.1,0.0,0.9166666666666666,0.0,0.5,0.3125,2.928571426479592e-06,1400000000.0
0.0,0.6727272727272727,4680000,5.0,0.0,0.375,0.0,1.0,0.3125,1.0683760660932136e-05,468000000.0
0.0,0.509090909090909,6700000,4.0,0.0,0.5,0.0,0.5,0.4375,5.970149244820673e-06,670000000.0
0.0,0.9272727272727272,13171900,2.6,1.0,0.0,0.3333333333333333,1.0,0.25,1.9738989804250724e-06,38364757.2815534
0.0,0.509090909090909,2860000,4.0,1.0,0.5,1.0,1.0,1.0,1.398601393711184e-05,2831683.168316832
0.0,0.0181818181818181,2900000,3.8,1.0,0.3333333333333333,0.0,1.0,0.25,1.3103448230677767e-05,290000000.0
0.0,0.4909090909090909,9600000,3.5,0.0,0.9166666666666666,0.0,0.5,0.25,3.6458333295355904e-06,960000000.0
0.0,0.4181818181818181,7100000,4.1,0.0,0.4166666666666666,0.3333333333333333,0.5,0.25,5.774647879190637e-06,20679611.650485437
0.0,0.3272727272727272,1951000,5.0,0.0,0.3333333333333333,0.0,1.0,0.25,2.5627883005495217e-05,195100000.0
