category,brand,price,rating,type,energy_rating,height,width,depth,fridge_shelves,freezer_shelves,total_capacity,value_score,volume_m3,form_factor_ratio,price_per_liter,shelf_to_capacity_ratio
0.0,0.2,43300000,3.5,0.0,0.0,0.0700746697300402,0.0588235294117647,0.0368782161234991,1.0,0.2857142857142857,0.5522565320665083,8.083140875731377e-07,1.5201345971101425e-10,1.018178961889473,77011110.6417135,2.286704044128741
0.0,0.1,40899000,4.0,1.0,0.25,0.0695002871912693,0.7941176470588235,0.0485420240137221,0.3333333333333333,0.2857142857142857,0.5296912114014252,9.780190222308569e-07,2.6791024842522877e-09,0.08643049614130052,75782223.49368426,1.147040392672187
0.0,0.1,40000000,3.8,0.8,0.25,0.0712234348075818,0.7058823529411764,0.0668953687821612,0.3333333333333333,0.1428571428571428,0.6021377672209026,9.499999997625e-07,3.363189132272047e-09,0.09949041838363933,65344767.37418028,0.7779138973116698
0.0,0.1,74042570,3.2,0.0,0.25,0.0695002871912693,0.0588235294117647,0.0351629502572898,0.6666666666666666,0.1428571428571428,0.6223277909738717,4.3218380987691484e-07,1.4375500831611515e-10,1.0098332326936565,117095232.97396792,1.2802281049153819
0.0,0.8,35390000,3.6,0.8,0.25,0.0695002871912693,0.8235294117647058,0.0600343053173241,0.5,0.1428571428571428,0.6935866983372921,1.017236507200555e-06,3.436095320726658e-09,0.08338072563525604,50299415.95489687,0.9136857538329466
0.0,0.4666666666666667,83650000,4.3,0.0,0.25,0.0695002871912693,0.2941176470588235,0.0325900514579759,0.6666666666666666,0.1428571428571428,0.6603325415676959,5.140466227717816e-07,6.661817458551675e-10,0.22853092500030528,124788809.75160342,1.2076451004908535
0.0,0.4666666666666667,86209120,4.0,0.2,0.25,0.0704192992533026,0.9705882352941176,0.0428816466552315,0.6666666666666666,0.2857142857142857,0.7363420427553444,4.6398803276683626e-07,2.93088093451592e-09,0.0718133225738539,115508861.97129308,1.2760649914145983
0.0,0.4666666666666667,78000000,4.0,0.0,0.25,0.0704192992533026,1.0,0.0428816466552315,0.6666666666666666,0.2857142857142857,0.7363420427553444,5.128205127547666e-07,3.0196955082891302e-09,0.06972207846861644,104509722.7968556,1.2760649914145983
0.0,0.4666666666666667,122500000,5.0,0.2,0.25,0.0704192992533026,0.9705882352941176,0.0771869639794168,0.6666666666666666,0.2857142857142857,0.8396674584323041,4.0816326527280296e-07,5.275585682128663e-09,0.0718133225738539,144174051.6060496,1.1208866985893067
0.0,0.7333333333333333,37750000,2.7,1.0,0.0,0.0752441125789776,0.8529411764705882,0.0343053173241852,0.3333333333333333,0.2857142857142857,0.6425178147268409,7.152317878900049e-07,2.20167416485758e-09,0.08719494981885612,57852826.61715991,0.9487060813914586
0.0,0.1666666666666666,31900000,4.0,1.0,0.25,0.0798391728891441,0.6764705882352942,0.0445969125214408,0.5,0.2857142857142857,0.4703087885985748,1.2539184949047277e-06,2.4086280591115003e-09,0.116303850823946,66415607.536719255,1.6358524023822476
0.0,0.2,28875190,4.0,0.4,0.0,0.022400919012062,0.5,0.0222984562607204,0.3333333333333333,0.2857142857142857,0.0415676959619952,1.3852722695901664e-06,2.497529563952023e-10,0.043923370611886274,559947258.8668821,12.004562303963512
0.0,0.2,27790000,4.4,0.2,0.25,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.3333333333333333,0.0,0.167458432304038,1.5833033459577892e-06,8.526199082228122e-10,0.2315528215292349,156600053.54035604,1.878374157854816
0.0,0.9666666666666668,66520000,3.0,0.2,0.0,0.0763928776565192,0.3529411764705882,0.0274442538593481,0.6666666666666666,0.0,0.6769596199524941,4.509921827343668e-07,7.399572449829297e-10,0.21048280715734627,96832474.67238338,0.9704597581918558
0.0,0.7333333333333333,64130000,3.7,0.2,0.0,0.0704192992533026,0.2941176470588235,0.0411663807890222,0.6666666666666666,0.2857142857142857,0.7517814726840855,5.769530639986039e-07,8.526199082228122e-10,0.2315528215292349,84184247.45096818,1.2502023041139376
