category,brand,price,rating,capacity_people,features,pot_material,body_material,capacity,image_path,product_url
پلوپز,جی پاس,4100000.0,,6.0,صفحات جداشونده,تفلن نچسب,استیل,2200.0,D:/پلوپز/image_46.jpg,https://www.digikala.com/product/dkp-18186033/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AC%DB%8C-%D9%BE%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-grc4326/
پلوپز,میجیا,6700000.0,1.0,12.0,تایمر,nan,پلاستیک,4.0,D:/پلوپز/image_47.jpg,https://www.digikala.com/product/dkp-4179858/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%DB%8C%D8%AC%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-ihfb02cm/
پلوپز,میلن,14300000.0,,8.0,تایمر,آلمینیوم با روکش تفلون,پلاستیک با استیل ضد زنگ,1.0,D:/پلوپز/image_48.jpg,https://www.digikala.com/product/dkp-714326/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%85%DB%8C%D9%84%D9%86-%D9%85%D8%AF%D9%84-rc1/
پلوپز,دلمونتی,7700000.0,,10.0,nan,nan,nan,5.0,D:/پلوپز/image_49.jpg,https://www.digikala.com/product/dkp-619145/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AF%D9%84%D9%85%D9%88%D9%86%D8%AA%DB%8C-%D9%85%D8%AF%D9%84-dl-670/
پلوپز,فکر,7500000.0,3.0,8.0,تایمر,سرامیک نچسب,پلاستیکی,5.0,D:/پلوپز/image_50.jpg,https://www.digikala.com/product/dkp-4660050/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%DA%A9%D8%B1-%D9%85%D8%AF%D9%84-guvech/
پلوپز,ویداس,3459340.0,4.5,8.0,تایمر,nan,پلاستیک,1.8,D:/پلوپز/image_51.jpg,https://www.digikala.com/product/dkp-2394949/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-5407/
پلوپز,تفال,8900000.0,4.3,10.0,تایمر,تفلون بسیار مقاوم,سیلیکون,4.0,D:/پلوپز/image_52.jpg,https://www.digikala.com/product/dkp-636805/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AA%D9%81%D8%A7%D9%84-%D9%85%D8%AF%D9%84-rk8121/
پلوپز,کوریزن,8855000.0,,,nan,nan,nan,3.0,D:/پلوپز/image_53.jpg,https://www.digikala.com/product/dkp-10538809/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%A8%D9%88%D8%B4-%D9%85%D8%AF%D9%84-%DA%A9%D9%88%D8%B1%DB%8C%D8%B2%D9%86-mf-931/
پلوپز,فلر,8900000.0,4.1,8.0,تایمر,فلزی با روکش سرامیک,پلاستیک و فلز,5.0,D:/پلوپز/image_54.jpg,https://www.digikala.com/product/dkp-154109/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%81%D9%84%D8%B1-%D9%85%D8%AF%D9%84-rc90/
پلوپز,دبلیو ام اف,19888000.0,3.5,2.0,تایمر,استیل,استیل,1.0,D:/پلوپز/image_55.jpg,https://www.digikala.com/product/dkp-3633343/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AF%D8%A8%D9%84%DB%8C%D9%88-%D8%A7%D9%85-%D8%A7%D9%81-%D9%85%D8%AF%D9%84-415260011/
پلوپز,سام,7200000.0,5.0,6.0,تایمر,nan,استیل,4.0,D:/پلوپز/image_56.jpg,https://www.digikala.com/product/dkp-2635661/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%B3%D8%A7%D9%85-%D9%85%D8%AF%D9%84-rc-4700-w/
پلوپز,بلزا,,3.0,8.0,تایمر,تفلون نچسب,تمام استیل ضد حرارت,1.8,D:/پلوپز/image_57.jpg,https://www.digikala.com/product/dkp-127448/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%A8%D9%84%D8%B2%D8%A7-%D9%85%D8%AF%D9%84-51101/
پلوپز,تفال,,,,nan,تفلون نچسب,استیل ضدزنگ,1.8,D:/پلوپز/image_58.jpg,https://www.digikala.com/product/dkp-56170/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AA%D9%81%D8%A7%D9%84-rk203/
پلوپز,متفرقه,,3.0,8.0,تایمر,تفلون,ترکیبی از استیل و پلاستیک,5.0,D:/پلوپز/image_59.jpg,https://www.digikala.com/product/dkp-212740/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D9%87%D9%88%D9%88%D8%B1-%D9%85%D8%AF%D9%84-mnc-100/
پلوپز,تولیپس,,5.0,,تایمر,تفلون,nan,5.0,D:/پلوپز/image_60.jpg,https://www.digikala.com/product/dkp-38548/%D9%BE%D9%84%D9%88%D9%BE%D8%B2-%D8%AA%D9%88%D9%84%DB%8C%D9%BE%D8%B3-ta-ys50rc/
