category,brand,price,rating,burner_count,material,grid_material,oven_capacity,height,width,depth,image_path,product_url
اجاق گاز,اسنوا,20615670,4.1,پنج شعله,nan,nan,nan,nan,95,nan,D:/اجاق گاز/image_38.jpg,https://www.digikala.com/product/dkp-14120050/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%B3%D9%86%D9%88%D8%A7-%D9%85%D8%AF%D9%84-sgc5-11101/
اجاق گاز,هاکان,5605000,2.6,پنج شعله,ام‌دی‌اف,چدنی,nan,90,90,52,D:/اجاق گاز/image_39.jpg,https://www.digikala.com/product/dkp-13870987/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%B3%D9%87-%DA%A9%D8%B4%D9%88-%DB%8C%DA%A9-%D8%AF%D8%B1%D8%A8/
اجاق گاز,متفرقه,1080000,4.0,دو شعله,آهن,nan,nan,12,nan,ندارد,D:/اجاق گاز/image_40.jpg,https://www.digikala.com/product/dkp-18340730/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%88-%D8%B4%D8%B9%D9%84%D9%87-%D9%85%D8%AF%D9%84-g3641/
اجاق گاز,هاکان,5937500,3.0,چهار شعله,MDF,چدنی,nan,90,59,50,D:/اجاق گاز/image_41.jpg,https://www.digikala.com/product/dkp-16778716/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-4-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%D8%B4%D8%B9%D9%84%D9%87-%D8%AF%D9%88-%D8%AF%D8%B1%D8%A8-%D8%A8%D8%A7-%D8%AA%D8%B1%D9%85%D9%88%DA%A9%D9%88%D9%BE%D9%84-geerd-termocobl/
اجاق گاز,دنپاسر,5820000,3.1,پنج شعله,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_42.jpg,https://www.digikala.com/product/dkp-10785330/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-denpa2/
اجاق گاز,آذر افروز پویا,4872000,3.0,پنج شعله,آهن,nan,nan,88,80,60,D:/اجاق گاز/image_43.jpg,https://www.digikala.com/product/dkp-18031610/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%A2%D8%B0%D8%B1-%D8%A7%D9%81%D8%B1%D9%88%D8%B2-%D9%BE%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-az230n/
اجاق گاز,اخوان,26143000,4.5,پنج شعله,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_44.jpg,https://www.digikala.com/product/dkp-11625727/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-m10-edtr-nt/
اجاق گاز,هاکان,6317500,4.0,پنج شعله,nan,nan,nan,nan,nan,nan,D:/اجاق گاز/image_45.jpg,https://www.digikala.com/product/dkp-15888980/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D9%87%D8%A7%DA%A9%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%DA%86%D9%87%D8%A7%D8%B1-%D8%AF%D8%B1%D8%A8-%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A8%D9%88%D8%B4/
اجاق گاز,آکورد,9800000,,پنج شعله,شیشه نشکن,nan,nan,nan,nan,50,D:/اجاق گاز/image_46.jpg,https://www.digikala.com/product/dkp-17301235/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-5-%D8%B4%D8%B9%D9%84%D9%87-%D8%A2%DA%A9%D9%88%D8%B1%D8%AF-%D9%85%D8%AF%D9%84-5014/
اجاق گاز,دنپاسر,5795000,2.9,پنج شعله,آهن,چدنی,nan,90,90,60,D:/اجاق گاز/image_47.jpg,https://www.digikala.com/product/dkp-10888242/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%AF%D9%86%D9%BE%D8%A7%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-den20/
