category,brand,price,rating,power,blade_material,dimensions,food_prep_features,image_path,product_url
چرخ گوشت,سونیفر,6100000,nan,1500 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_86.jpg,https://www.digikala.com/product/dkp-15448696/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B3%D9%88%D9%86%DB%8C%D9%81%D8%B1-%D9%85%D8%AF%D9%84-sf-5019/
چرخ گوشت,نانیوا,6800000,nan,300 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_87.jpg,https://www.digikala.com/product/dkp-18115153/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D9%86%DB%8C%D9%88%D8%A7-%D9%85%D8%AF%D9%84-mk-g50/
چرخ گوشت,دونالکس,6710000,nan,2400 وات,استیل ضد زنگ,50x50x40,nan,D:/چرخ گوشت/image_88.jpg,https://www.digikala.com/product/dkp-14048614/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AF%D9%88%D9%86%D8%A7%D9%84%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-dn-165/
چرخ گوشت,زومیکس,11200000,nan,2400 وات,فلز,nan,nan,D:/چرخ گوشت/image_89.jpg,https://www.digikala.com/product/dkp-16723880/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B2%D9%88%D9%85%DB%8C%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-ml-2020/
چرخ گوشت,اوریکس,6700000,nan,3000 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_90.jpg,https://www.digikala.com/product/dkp-16204688/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A7%D9%88%D8%B1%DB%8C%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mg-3820/
چرخ گوشت,رانکو,7450000,nan,1800 وات,فولاد ضد زنگ,35x30x35,سیستم چرخش معکوس,D:/چرخ گوشت/image_91.jpg,https://www.digikala.com/product/dkp-15942363/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%B1%D8%A7%D9%86%DA%A9%D9%88-%D9%85%D8%AF%D9%84-rk-600/
چرخ گوشت,متفرقه,8300000,nan,1400 وات,فولاد,nan,nan,D:/چرخ گوشت/image_92.jpg,https://www.digikala.com/product/dkp-18458507/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-1400-%D9%88%D8%A7%D8%AA-%D8%B3%D9%88%D9%84%DB%8C%D9%86%DA%AF%D9%86-%D9%85%D8%AF%D9%84-mg-8068/
چرخ گوشت,پارس خزر,4938400,4.2,700 وات,فولاد,372 × 176 × 342,nan,D:/چرخ گوشت/image_93.jpg,https://www.digikala.com/product/dkp-26678/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-mg-1400r/
چرخ گوشت,پارس خزر,6470300,4.2,1000 وات,فولاد,طول450، عرض200، ارتفاع380,nan,D:/چرخ گوشت/image_94.jpg,https://www.digikala.com/product/dkp-173533/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D8%B1%D8%B3-%D8%AE%D8%B2%D8%B1-%D9%85%D8%AF%D9%84-buffalo-2020/
چرخ گوشت,اوریکس,5900000,nan,3000 وات,nan,nan,nan,D:/چرخ گوشت/image_95.jpg,https://www.digikala.com/product/dkp-15828059/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A7%D9%88%D8%B1%DB%8C%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mg-3817/
چرخ گوشت,اوریکس,5900000,nan,3000 وات,استیل ضد زنگ,nan,nan,D:/چرخ گوشت/image_96.jpg,https://www.digikala.com/product/dkp-16204639/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%A7%D9%88%D8%B1%DB%8C%DA%A9%D8%B3-%D9%85%D8%AF%D9%84-mg3818/
چرخ گوشت,متفرقه,6500000,4.5,1000 وات,فولادی,280*190*230,سوسیس ساز,D:/چرخ گوشت/image_97.jpg,https://www.digikala.com/product/dkp-1511791/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AC%D9%87%D8%A7%D9%86-%D8%A2%D9%88%D8%A7-%D9%85%D8%AF%D9%84-mg-1200-ebs-%DA%A9%D8%AF-3001429/
چرخ گوشت,ناسا الکتریک,7150000,4.3,2000 وات,استیل ضدزنگ,nan,nan,D:/چرخ گوشت/image_98.jpg,https://www.digikala.com/product/dkp-9471026/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D8%B3%D8%A7-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ns-320/
چرخ گوشت,ناسا الکتریک,7950000,3.8,800 وات,nan,41x23x36,سوسیس ساز,D:/چرخ گوشت/image_99.jpg,https://www.digikala.com/product/dkp-3694198/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D8%B3%D8%A7-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%DB%8C%DA%A9-%D9%85%D8%AF%D9%84-ns-313/
چرخ گوشت,جی پاس,4200000,3.5,1600 وات,استیل ضد زنگ,300x200x300,سوسیس ساز,D:/چرخ گوشت/image_100.jpg,https://www.digikala.com/product/dkp-2068880/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D8%AC%DB%8C-%D9%BE%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gmg1909/
چرخ گوشت,ویداس,3400000,4,3000W وات,تیغه استیل ضد خش,58×26×29,nan,D:/چرخ گوشت/image_101.jpg,https://www.digikala.com/product/dkp-12012717/%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%88%DB%8C%D8%AF%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-vir-3508/
چرخ گوشت,پویا پروتئین,409000,4,nan,nan,nan,nan,D:/چرخ گوشت/image_102.jpg,https://www.digikala.com/product/dkp-1760049/%DA%AF%D9%88%D8%B4%D8%AA-%DA%86%D8%B1%D8%AE-%DA%A9%D8%B1%D8%AF%D9%87-%DA%AF%D9%88%D8%B3%D8%A7%D9%84%D9%87-%D9%BE%D9%88%DB%8C%D8%A7-%D9%BE%D8%B1%D9%88%D8%AA%D8%A6%DB%8C%D9%86-1-%DA%A9%DB%8C%D9%84%D9%88%DA%AF%D8%B1%D9%85/
چرخ گوشت,متفرقه,99000,4.1,nan,nan,nan,nan,D:/چرخ گوشت/image_103.jpg,https://www.digikala.com/product/dkp-12374250/%DA%86%D8%B1%D8%AE-%D8%AF%D9%86%D8%AF%D9%87-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%85%D8%AF%D9%84-g20-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A8%D8%B1%D8%A7%DB%8C-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9-%D9%88-%D9%86%D8%A7%D8%B3%DB%8C%D9%88%D9%86%D8%A7%D9%84/
چرخ گوشت,متفرقه,87000,4.1,nan,nan,3x3x1,nan,D:/چرخ گوشت/image_104.jpg,https://www.digikala.com/product/dkp-3681854/%D8%AA%DB%8C%D8%BA%D9%87-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%85%D8%AF%D9%84-g20-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A8%D8%B1%D8%A7%DB%8C-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%86%D8%A7%D8%B3%DB%8C%D9%88%D9%86%D8%A7%D9%84-%D9%88-%D9%BE%D8%A7%D9%86%D8%A7%D8%B3%D9%88%D9%86%DB%8C%DA%A9/
چرخ گوشت,متفرقه,145000,3.9,nan,nan,7x7x1,nan,D:/چرخ گوشت/image_105.jpg,https://www.digikala.com/product/dkp-3408951/%D8%B4%D8%A8%DA%A9%D9%87-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA-%D9%85%D8%AF%D9%84-b1200-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%A7%D9%86%D9%88%D8%A7%D8%B9-%DA%86%D8%B1%D8%AE-%DA%AF%D9%88%D8%B4%D8%AA/
